"U:0","U:1","U:2","epsilon","k","nut","p","tmp<kEpsilon:G>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.39109,-0.134333,-2.76663e-20,67.2331,0.826748,0.000919966,16.8119,105.417,1,0.183733,0.203733,0.02,0
5.38657,-0.152912,1.42036e-19,67.2143,0.827928,0.00092269,16.8533,106.93,1,0.1846,0.2046,0.02,0
5.38395,-0.172423,7.52427e-19,67.1195,0.829039,0.000926331,16.8952,108.383,1,0.185467,0.205467,0.02,0
5.3793,-0.192903,9.67427e-19,67.1897,0.830638,0.00092898,16.9163,109.087,1,0.186333,0.206333,0.02,0
5.37164,-0.215401,8.49056e-20,67.5324,0.83307,0.000929876,16.9054,108.641,1,0.1872,0.2072,0.02,0
5.36479,-0.238198,-8.26195e-19,67.8833,0.835599,0.000930628,16.8921,108.119,1,0.188067,0.208067,0.02,0
5.37077,-0.255568,-5.42874e-19,68.1121,0.837931,0.000932654,16.7778,105.257,1,0.188933,0.208933,0.02,0
5.37756,-0.273101,1.10205e-19,68.3439,0.840287,0.000934359,16.6609,102.276,1,0.1898,0.2098,0.02,0
5.38433,-0.288461,-3.9655e-19,68.5604,0.842272,0.000935268,16.5515,99.8631,1,0.190667,0.210667,0.02,0
5.39116,-0.302135,-2.43488e-18,68.7597,0.843941,0.000935489,16.4483,97.9135,1,0.191533,0.211533,0.02,0
5.39785,-0.315861,-4.7452e-18,68.9866,0.845235,0.000934982,16.3444,95.882,1,0.1924,0.2124,0.02,0
5.40169,-0.327854,-6.10753e-18,69.2768,0.844339,0.00093003,16.2568,94.3547,1,0.193267,0.213267,0.02,0
5.40605,-0.339859,-6.79997e-18,69.5629,0.843432,0.000924843,16.1691,92.8281,1,0.194133,0.214133,0.02,0
5.4109,-0.351116,-6.5654e-18,69.8461,0.842208,0.000918812,16.076,91.3174,1,0.195,0.215,0.02,0
5.41618,-0.36109,-6.15557e-18,70.1258,0.840437,0.00091151,15.9739,89.8276,1,0.195867,0.215867,0.02,0
5.42198,-0.371052,-6.41923e-18,70.399,0.838619,0.000903957,15.8712,88.3307,1,0.196733,0.216733,0.02,0
5.42795,-0.379966,-6.31322e-18,70.668,0.836448,0.000895556,15.7632,87.0022,1,0.1976,0.2176,0.02,0
5.43418,-0.388238,-6.40821e-18,70.9307,0.834023,0.000886523,15.6519,85.776,1,0.198467,0.218467,0.02,0
5.44088,-0.396497,-7.38823e-18,71.1854,0.831525,0.000877214,15.5402,84.5464,1,0.199333,0.219333,0.02,0
5.44631,-0.403954,-4.237e-18,71.5098,0.82839,0.000866686,15.4287,83.5148,1,0.2002,0.2202,0.02,0
5.45081,-0.411145,1.07256e-18,71.9057,0.824695,0.000855244,15.3172,82.535,1,0.201067,0.221067,0.02,0
5.45573,-0.418321,6.38443e-18,72.2985,0.820945,0.00084354,15.2055,81.5641,1,0.201933,0.221933,0.02,0
5.46039,-0.424857,8.3451e-18,72.7202,0.817015,0.00083102,15.0922,80.7414,1,0.2028,0.2228,0.02,0
5.46524,-0.43122,1.00129e-17,73.1508,0.813005,0.000818088,14.9784,79.9678,1,0.203667,0.223667,0.02,0
5.47047,-0.437575,1.23292e-17,73.5825,0.808948,0.000804884,14.8644,79.2077,1,0.204533,0.224533,0.02,0
5.47559,-0.443475,1.32929e-17,74.0558,0.804851,0.000791028,14.7478,78.5872,1,0.2054,0.2254,0.02,0
5.48085,-0.44919,1.45002e-17,74.5509,0.800721,0.000776739,14.6301,78.0363,1,0.206267,0.226267,0.02,0
5.48439,-0.454801,1.3126e-17,75.2741,0.795866,0.000761129,14.5123,77.621,1,0.207133,0.227133,0.02,0
5.48758,-0.460152,1.08306e-17,76.0944,0.790951,0.000744778,14.3929,77.352,1,0.208,0.228,0.02,0
5.49069,-0.465266,7.66961e-18,76.9827,0.786102,0.000727856,14.2718,77.2159,1,0.208867,0.228867,0.02,0
5.49405,-0.470371,5.90725e-18,77.9035,0.781284,0.000710639,14.1508,77.131,1,0.209733,0.229733,0.02,0
5.49755,-0.475399,5.10314e-18,78.8729,0.776536,0.000693058,14.0289,77.126,1,0.2106,0.2306,0.02,0
5.50081,-0.480116,2.37104e-18,79.9535,0.772016,0.000674874,13.9039,77.3094,1,0.211467,0.231467,0.02,0
5.5031,-0.484732,-6.03975e-19,81.2679,0.767317,0.000655887,13.7789,77.7286,1,0.212333,0.232333,0.02,0
5.50329,-0.489149,-2.08991e-18,83.015,0.76229,0.000635669,13.6539,78.5748,1,0.2132,0.2332,0.02,0
5.50319,-0.493306,-1.10104e-18,84.9144,0.757537,0.000614917,13.5253,79.6356,1,0.214067,0.234067,0.02,0
5.50295,-0.497344,-6.02447e-20,86.9273,0.752971,0.000593821,13.3953,80.8534,1,0.214933,0.234933,0.02,0
5.50272,-0.501358,3.29567e-19,89.0271,0.748534,0.000572486,13.2653,82.1881,1,0.2158,0.2358,0.02,0
5.50243,-0.505316,1.02463e-18,91.229,0.744265,0.000550886,13.1346,83.6602,1,0.216667,0.236667,0.02,0
5.49779,-0.508636,4.93409e-18,94.4911,0.740165,0.000527998,12.9992,86.3648,1,0.217533,0.237533,0.02,0
5.49142,-0.511758,4.69158e-18,98.2423,0.736194,0.000504635,12.8638,89.642,1,0.2184,0.2384,0.02,0
5.48476,-0.514829,1.25012e-18,102.168,0.732452,0.000481141,12.7284,93.1387,1,0.219267,0.239267,0.02,0
5.47763,-0.517767,-6.35696e-18,106.317,0.729059,0.000457513,12.5906,96.9197,1,0.220133,0.240133,0.02,0
5.46989,-0.520528,-1.83455e-17,110.728,0.726093,0.00043377,12.4489,101.029,1,0.221,0.241,0.02,0
5.45411,-0.522401,-2.14943e-17,117.464,0.723508,0.000409403,12.3073,108.031,1,0.221867,0.241867,0.02,0
5.43625,-0.524032,-2.09652e-17,124.908,0.721324,0.000384982,12.1657,115.915,1,0.222733,0.242733,0.02,0
5.41743,-0.525495,-1.48867e-17,132.775,0.719646,0.000360622,12.0205,124.313,1,0.2236,0.2436,0.02,0
5.39761,-0.526795,-3.5037e-18,141.083,0.718456,0.000336337,11.8717,133.238,1,0.224467,0.244467,0.02,0
5.36773,-0.526974,1.22566e-18,152.884,0.718024,0.000312267,11.7229,146.898,1,0.225333,0.245333,0.02,0
5.33033,-0.526313,-2.93286e-18,167.396,0.718367,0.000288484,11.5742,164.204,1,0.2262,0.2462,0.02,0
5.29131,-0.525438,-9.37277e-18,182.677,0.719364,0.000264973,11.4215,182.462,1,0.227067,0.247067,0.02,0
5.25062,-0.524345,-1.06974e-17,198.772,0.721029,0.000241749,11.2645,201.722,1,0.227933,0.247933,0.02,0
5.18451,-0.520425,-8.65073e-18,225.373,0.723913,0.000219626,11.1075,237.464,1,0.2288,0.2488,0.02,0
5.1126,-0.515867,-1.05096e-17,254.646,0.727662,0.00019796,10.9505,277.101,1,0.229667,0.249667,0.02,0
5.03811,-0.511023,-1.65436e-17,285.348,0.732284,0.000176675,10.7907,318.598,1,0.230533,0.250533,0.02,0
4.93044,-0.502387,-2.38016e-17,331.768,0.736044,0.000156349,10.6243,421.476,1,0.2314,0.2514,0.02,0
4.79917,-0.491092,-3.31374e-17,389.745,0.739474,0.000136708,10.4579,568.802,1,0.232267,0.252267,0.02,0
4.66402,-0.479393,-4.45504e-17,450.266,0.743819,0.000117404,10.2916,722.526,1,0.233133,0.253133,0.02,0
4.41663,-0.454945,-4.1182e-17,502.103,0.685726,9.45315e-05,10.1253,714.619,1,0.234,0.254,0.02,0
4.12018,-0.424937,-3.18571e-17,551.124,0.601834,7.03959e-05,9.94948,639.628,1,0.234867,0.254867,0.02,0
3.58344,-0.369991,-2.4537e-17,594.001,0.514805,4.66904e-05,9.77283,533.411,1,0.235733,0.255733,0.02,0
1.8842,-0.194547,-1.28599e-17,602.529,0.418478,2.43388e-05,9.59475,284.548,1,0.2366,0.2566,0.02,0
0.158236,-0.0163384,-1.0765e-18,609.701,0.319678,2.02635e-06,9.41669,24.2367,1,0.237467,0.257467,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.238333,0.258333,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.2392,0.2592,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.240067,0.260067,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.240933,0.260933,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.2418,0.2618,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.242667,0.262667,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.243533,0.263533,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.2444,0.2644,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.245267,0.265267,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.246133,0.266133,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.247,0.267,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.247867,0.267867,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.248733,0.268733,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.2496,0.2696,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.250467,0.270467,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.251333,0.271333,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.2522,0.2722,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.253067,0.273067,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.253933,0.273933,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.2548,0.2748,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.255667,0.275667,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.256533,0.276533,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.2574,0.2774,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.258267,0.278267,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.259133,0.279133,0.02,0
nan,nan,nan,nan,nan,nan,nan,nan,0,0.26,0.28,0.02,0
