"U:0","U:1","U:2","epsilon","k","nut","p","tmp<kEpsilon:G>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10.07,-0.0496015,3.66912e-20,15.2443,0.281723,0.000478602,-6.39335,0.262903,1,0.0398667,0.0598667,0.02,0
10.0692,-0.0495964,1.5829e-20,15.5436,0.281595,0.000468835,-6.36763,0.280132,1,0.0407333,0.0607333,0.02,0
10.0686,-0.0497082,5.12909e-20,15.8492,0.28165,0.000459786,-6.34187,0.299074,1,0.0416,0.0616,0.02,0
10.0679,-0.0499504,1.20762e-19,16.1615,0.281859,0.00045129,-6.316,0.319862,1,0.0424667,0.0624667,0.02,0
10.0673,-0.050337,5.1594e-20,16.4815,0.282189,0.000443185,-6.28989,0.342672,1,0.0433333,0.0633333,0.02,0
10.0666,-0.050913,2.46726e-20,16.8119,0.282894,0.000436333,-6.26325,0.368335,1,0.0442,0.0642,0.02,0
10.0659,-0.0516756,3.59497e-20,17.1525,0.284044,0.000430913,-6.23592,0.396688,1,0.0450667,0.0650667,0.02,0
10.0651,-0.0526294,2.07076e-20,17.5038,0.28556,0.000426565,-6.20775,0.427838,1,0.0459333,0.0659333,0.02,0
10.0642,-0.0537863,2.54651e-20,17.8667,0.287421,0.000423161,-6.17845,0.462034,1,0.0468,0.0668,0.02,0
10.0631,-0.0551585,6.54471e-20,18.242,0.289615,0.000420623,-6.14771,0.499511,1,0.0476667,0.0676667,0.02,0
10.0619,-0.0567585,8.5538e-20,18.6303,0.292126,0.000418864,-6.11523,0.540473,1,0.0485333,0.0685333,0.02,0
10.0604,-0.0586549,-1.97428e-20,19.0363,0.294992,0.000417906,-6.08038,0.58644,1,0.0494,0.0694,0.02,0
10.0586,-0.0608301,-7.56588e-20,19.4586,0.298132,0.0004175,-6.04327,0.637107,1,0.0502667,0.0702667,0.02,0
10.0566,-0.0632784,-4.37988e-20,19.8965,0.301498,0.000417507,-6.00385,0.692374,1,0.0511333,0.0711333,0.02,0
10.0543,-0.0660082,-3.01264e-21,20.3503,0.305067,0.000417847,-5.96189,0.752506,1,0.052,0.072,0.02,0
10.0516,-0.0690266,-4.12498e-20,20.8203,0.308819,0.00041845,-5.91712,0.81776,1,0.0528667,0.0728667,0.02,0
10.0484,-0.0724066,-4.23281e-20,21.3115,0.312766,0.000419285,-5.86845,0.890421,1,0.0537333,0.0737333,0.02,0
10.0447,-0.0761361,1.60676e-20,21.8228,0.316876,0.00042027,-5.81564,0.970737,1,0.0546,0.0746,0.02,0
10.0405,-0.0801823,3.95632e-20,22.3512,0.321113,0.000421355,-5.75895,1.05791,1,0.0554667,0.0754667,0.02,0
10.0358,-0.0845475,8.19661e-21,22.8963,0.325469,0.000422523,-5.69825,1.15211,1,0.0563333,0.0763333,0.02,0
10.0306,-0.089239,-7.41093e-20,23.4581,0.329936,0.000423758,-5.63332,1.25367,1,0.0572,0.0772,0.02,0
10.0245,-0.0943703,-1.11513e-19,24.0457,0.334557,0.000425066,-5.56219,1.36793,1,0.0580667,0.0780667,0.02,0
10.0178,-0.0998171,-7.37238e-20,24.6494,0.33927,0.000426408,-5.48617,1.4912,1,0.0589333,0.0789333,0.02,0
10.0104,-0.105575,-1.38565e-20,25.2685,0.344066,0.000427775,-5.40499,1.62374,1,0.0598,0.0798,0.02,0
10.0023,-0.11164,2.28282e-20,25.9025,0.34894,0.000429161,-5.31842,1.76572,1,0.0606667,0.0806667,0.02,0
9.99311,-0.118121,4.27046e-20,26.5602,0.353924,0.000430558,-5.22371,1.92447,1,0.0615333,0.0815333,0.02,0
9.98305,-0.124915,3.77758e-20,27.2337,0.358974,0.000431951,-5.12258,2.09572,1,0.0624,0.0824,0.02,0
9.97216,-0.131994,2.0029e-20,27.9202,0.364079,0.000433338,-5.01541,2.27834,1,0.0632667,0.0832667,0.02,0
9.96045,-0.13935,-1.28566e-22,28.619,0.369231,0.000434715,-4.9022,2.47223,1,0.0641333,0.0841333,0.02,0
9.94734,-0.14709,-6.17352e-21,29.3417,0.374474,0.000436083,-4.77936,2.68886,1,0.065,0.085,0.02,0
9.93328,-0.155083,-4.99829e-20,30.0764,0.379761,0.000437444,-4.64982,2.91927,1,0.0658667,0.0858667,0.02,0
9.91829,-0.16331,-9.72634e-20,30.8216,0.385085,0.000438798,-4.51381,3.1624,1,0.0667333,0.0867333,0.02,0
9.90218,-0.171791,-9.50143e-20,31.5804,0.390456,0.000440145,-4.3702,3.4218,1,0.0676,0.0876,0.02,0
9.88461,-0.180545,-1.04748e-19,32.3587,0.395894,0.000441492,-4.21694,3.70559,1,0.0684667,0.0884667,0.02,0
9.86605,-0.189474,-1.2943e-19,33.1457,0.401356,0.000442827,-4.05713,4.00285,1,0.0693333,0.0893333,0.02,0
9.84652,-0.198569,-1.68364e-19,33.9405,0.406837,0.000444147,-3.89085,4.31281,1,0.0702,0.0902,0.02,0
9.82536,-0.207859,-1.76776e-19,34.754,0.412369,0.000445454,-3.71453,4.65079,1,0.0710667,0.0910667,0.02,0
9.80299,-0.21727,-1.56985e-19,35.5774,0.417914,0.00044673,-3.53065,5.00702,1,0.0719333,0.0919333,0.02,0
9.77959,-0.226779,-1.05879e-19,36.4065,0.423459,0.000447977,-3.3403,5.37621,1,0.0728,0.0928,0.02,0
9.75477,-0.23638,-1.1074e-20,37.2474,0.429017,0.000449187,-3.14131,5.76775,1,0.0736667,0.0936667,0.02,0
9.72839,-0.24603,1.10062e-19,38.1009,0.434576,0.000450343,-2.93319,6.18488,1,0.0745333,0.0945333,0.02,0
9.70098,-0.25571,1.91627e-19,38.9575,0.440115,0.000451458,-2.71896,6.61392,1,0.0754,0.0954,0.02,0
9.67234,-0.265403,1.88034e-19,39.8202,0.445639,0.000452526,-2.49759,7.05982,1,0.0762667,0.0962667,0.02,0
9.6412,-0.274994,7.15814e-20,40.783,0.451427,0.000453506,-2.26701,7.62763,1,0.0771333,0.0971333,0.02,0
9.60888,-0.284533,-3.36183e-20,41.7703,0.457253,0.000454443,-2.03112,8.23636,1,0.078,0.098,0.02,0
9.57538,-0.29401,-1.03584e-19,42.7662,0.463062,0.000455339,-1.78935,8.87178,1,0.0788667,0.0988667,0.02,0
9.53995,-0.303306,-1.03043e-19,43.7794,0.468855,0.000456186,-1.53875,9.55705,1,0.0797333,0.0997333,0.02,0
9.50354,-0.312496,-5.74735e-20,44.7964,0.47462,0.000457009,-1.28366,10.2655,1,0.0806,0.1006,0.02,0
9.466,-0.321556,3.73691e-20,45.8186,0.48036,0.000457809,-1.02353,11.0008,1,0.0814667,0.101467,0.02,0
9.4266,-0.33032,4.23152e-20,46.854,0.486079,0.000458594,-0.755926,11.7896,1,0.0823333,0.102333,0.02,0
9.38629,-0.338926,4.10921e-20,47.8898,0.491769,0.000459379,-0.484736,12.6008,1,0.0832,0.1032,0.02,0
